"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2011-01-03",,"72","74",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2011-01-04",,"71","77",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2011-01-05",,"71","78",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2011-01-06",,"72","80","68"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2011-01-07",,"73","82",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2011-01-08",,"75","82",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2011-01-09",,"76","84",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2011-01-10",,"76","84","71"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2011-01-11","0.61","72","81","69"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2011-01-12","0.13","74","80",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2011-01-13","0.00","76","84","66"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2011-01-14",,"78","87","70"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2011-01-15","0.04","74","87","70"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2011-01-16","0.00","78","85",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2011-01-17",,"75","85",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2011-01-18",,"77","85",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2011-01-19",,"79","86","72"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2011-01-20",,"75","86","71"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2011-01-21",,"73","81","69"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2011-01-22",,"78","89","69"
